stock,sector,industry,DCF_Stockprice,MichaelMethodValuation_Price,currentstockprice
A,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,84.39845489286097,66.38325390909246,144.68
AAL,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",40.89398541949515,-423.43545334748507,18.49
AAP,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,101.95010077939484,57.26205953716274,239.6
AAPL,TECHNOLOGY,ELECTRONIC COMPUTERS,144.8843623188466,20.85946450570472,173.07
ABBV,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,331.4308669219261,62.95475940241932,135.87
ABC,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",310.0921635147031,58.03906663623181,136.2
ABMD,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,135.4229346721997,83.73596640666005,301.22
ABT,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,95.62376991988847,42.39942605371855,128.16
ACN,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",317.5210563702744,24.732590815743194,353.36
ADBE,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,,355.8510108682306,520.6
ADI,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,435.64070824291554,51.66975095925989,172.0
ADM,MANUFACTURING,FATS & OILS,,35.5644087514888,71.55
ADP,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,200.5099844435566,6.223149209562825,228.75
ADSK,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,10.618089715081082,362.0189944496317,259.1
AEE,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,15.857026909422514,18.59095007223368,88.09
AEP,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,474.1310806867667,3.217202754128566,90.98
AFL,FINANCE,ACCIDENT & HEALTH INSURANCE,,2.181848153633416,64.06
AIG,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",102.4595219628222,2909.421565606086,61.91
AIZ,FINANCE,"INSURANCE CARRIERS, NEC",,174.39142058854006,154.89
AJG,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE",146.3222846853881,47.79261391470931,157.7
AKAM,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",130.21703620666784,38.90656037653345,112.62
